recv	ack	#53,	sack	#163
send	data	#165,	winSize = 16
recv	ack	#53,	sack	#164
send	data	#166,	winSize = 16
recv	ack	#53,	sack	#165
send	data	#167,	winSize = 16
recv	ack	#53,	sack	#166
send	data	#168,	winSize = 16
recv	ack	#53,	sack	#167
send	data	#169,	winSize = 16
recv	ack	#53,	sack	#168
send	data	#170,	winSize = 16
recv	ack	#53,	sack	#169
send	data	#171,	winSize = 16
recv	ack	#53,	sack	#170
send	data	#172,	winSize = 16
recv	ack	#53,	sack	#171
send	data	#173,	winSize = 16
recv	ack	#53,	sack	#172
send	data	#174,	winSize = 16
recv	ack	#53,	sack	#173
send	data	#175,	winSize = 16
recv	ack	#53,	sack	#174
send	data	#176,	winSize = 16
recv	ack	#53,	sack	#175
send	data	#177,	winSize = 16
recv	ack	#53,	sack	#176
send	data	#178,	winSize = 16
recv	ack	#53,	sack	#177
send	data	#179,	winSize = 16
recv	ack	#53,	sack	#178
send	data	#180,	winSize = 16
recv	ack	#53,	sack	#179
send	data	#181,	winSize = 16
recv	ack	#53,	sack	#180
send	data	#182,	winSize = 16
recv	ack	#53,	sack	#181
send	data	#183,	winSize = 16
recv	ack	#53,	sack	#182
send	data	#184,	winSize = 16
recv	ack	#53,	sack	#183
send	data	#185,	winSize = 16
recv	ack	#53,	sack	#53
recv	ack	#53,	sack	#185
send	data	#186,	winSize = 16
recv	ack	#53,	sack	#186
send	data	#187,	winSize = 16
recv	ack	#53,	sack	#187
send	data	#188,	winSize = 16
recv	ack	#53,	sack	#188
send	data	#189,	winSize = 16
recv	ack	#53,	sack	#189
send	data	#190,	winSize = 16
recv	ack	#53,	sack	#190
send	data	#191,	winSize = 16
recv	ack	#53,	sack	#191
send	data	#192,	winSize = 16
recv	ack	#53,	sack	#192
send	data	#193,	winSize = 16
recv	ack	#53,	sack	#193
send	data	#194,	winSize = 16
recv	ack	#53,	sack	#194
send	data	#195,	winSize = 16
recv	ack	#53,	sack	#195
send	data	#196,	winSize = 16
recv	ack	#53,	sack	#196
send	data	#197,	winSize = 16
recv	ack	#53,	sack	#197
send	data	#198,	winSize = 16
recv	ack	#53,	sack	#198
send	data	#199,	winSize = 16
recv	ack	#53,	sack	#199
send	data	#200,	winSize = 16
recv	ack	#53,	sack	#200
send	data	#201,	winSize = 16
recv	ack	#53,	sack	#201
send	data	#202,	winSize = 16
recv	ack	#53,	sack	#202
send	data	#203,	winSize = 16
recv	ack	#53,	sack	#203
send	data	#204,	winSize = 16
recv	ack	#53,	sack	#204
send	data	#205,	winSize = 16
recv	ack	#53,	sack	#205
send	data	#206,	winSize = 16
recv	ack	#53,	sack	#53
time	out,	threshold = 8,	winSize = 1
resnd	data	#54,	winSize = 1
recv	ack	#54,	sack	#54
resnd	data	#55,	winSize = 2
resnd	data	#61,	winSize = 2
recv	ack	#60,	sack	#55
resnd	data	#64,	winSize = 3
resnd	data	#80,	winSize = 3
recv	ack	#63,	sack	#61
resnd	data	#85,	winSize = 4
resnd	data	#87,	winSize = 4
recv	ack	#79,	sack	#64
resnd	data	#89,	winSize = 5
resnd	data	#90,	winSize = 5
recv	ack	#84,	sack	#80
resnd	data	#91,	winSize = 6
resnd	data	#104,	winSize = 6
recv	ack	#86,	sack	#85
resnd	data	#121,	winSize = 7
resnd	data	#128,	winSize = 7
recv	ack	#88,	sack	#87
resnd	data	#144,	winSize = 8
resnd	data	#184,	winSize = 8
recv	ack	#89,	sack	#89
resnd	data	#206,	winSize = 8
recv	ack	#90,	sack	#90
send	data	#207,	winSize = 8
recv	ack	#103,	sack	#91
send	data	#208,	winSize = 8
recv	ack	#120,	sack	#104
send	data	#209,	winSize = 8
recv	ack	#127,	sack	#121
send	data	#210,	winSize = 8
recv	ack	#143,	sack	#128
send	data	#211,	winSize = 8
recv	ack	#183,	sack	#144
send	data	#212,	winSize = 8
recv	ack	#205,	sack	#184
send	data	#213,	winSize = 9
send	data	#214,	winSize = 9
recv	ack	#206,	sack	#206
send	data	#215,	winSize = 9
recv	ack	#207,	sack	#207
send	data	#216,	winSize = 9
recv	ack	#208,	sack	#208
send	data	#217,	winSize = 9
recv	ack	#209,	sack	#209
send	data	#218,	winSize = 9
recv	ack	#210,	sack	#210
send	data	#219,	winSize = 9
recv	ack	#211,	sack	#211
send	data	#220,	winSize = 9
recv	ack	#212,	sack	#212
send	data	#221,	winSize = 9
recv	ack	#213,	sack	#213
send	data	#222,	winSize = 9
recv	ack	#214,	sack	#214
send	data	#223,	winSize = 9
recv	ack	#215,	sack	#215
send	data	#224,	winSize = 10
send	data	#225,	winSize = 10
recv	ack	#216,	sack	#216
send	data	#226,	winSize = 10
recv	ack	#217,	sack	#217
send	data	#227,	winSize = 10
recv	ack	#218,	sack	#218
send	data	#228,	winSize = 10
recv	ack	#219,	sack	#219
send	data	#229,	winSize = 10
recv	ack	#220,	sack	#220
send	data	#230,	winSize = 10
recv	ack	#221,	sack	#221
send	data	#231,	winSize = 10
recv	ack	#222,	sack	#222
send	data	#232,	winSize = 10
recv	ack	#223,	sack	#223
send	data	#233,	winSize = 10
recv	ack	#224,	sack	#224
send	data	#234,	winSize = 11
send	data	#235,	winSize = 11
recv	ack	#225,	sack	#225
send	data	#236,	winSize = 11
recv	ack	#226,	sack	#226
send	data	#237,	winSize = 11
recv	ack	#227,	sack	#227
send	data	#238,	winSize = 11
recv	ack	#228,	sack	#228
send	data	#239,	winSize = 11
recv	ack	#229,	sack	#229
send	data	#240,	winSize = 11
recv	ack	#230,	sack	#230
send	data	#241,	winSize = 11
recv	ack	#231,	sack	#231
send	data	#242,	winSize = 11
recv	ack	#231,	sack	#231
recv	ack	#231,	sack	#233
send	data	#243,	winSize = 11
recv	ack	#231,	sack	#234
send	data	#244,	winSize = 11
resnd	data	#232,	winSize = 11
recv	ack	#231,	sack	#235
send	data	#245,	winSize = 11
recv	ack	#231,	sack	#236
send	data	#246,	winSize = 11
recv	ack	#231,	sack	#237
send	data	#247,	winSize = 11
recv	ack	#231,	sack	#238
send	data	#248,	winSize = 11
recv	ack	#231,	sack	#231
recv	ack	#231,	sack	#240
send	data	#249,	winSize = 11
recv	ack	#231,	sack	#241
send	data	#250,	winSize = 11
recv	ack	#231,	sack	#242
send	data	#251,	winSize = 11
recv	ack	#231,	sack	#243
send	data	#252,	winSize = 11
recv	ack	#231,	sack	#244
send	data	#253,	winSize = 11
recv	ack	#238,	sack	#232
send	data	#254,	winSize = 11
recv	ack	#238,	sack	#245
send	data	#255,	winSize = 11
recv	ack	#238,	sack	#246
send	data	#256,	winSize = 11
recv	ack	#238,	sack	#247
send	data	#257,	winSize = 11
resnd	data	#239,	winSize = 11
recv	ack	#238,	sack	#248
send	data	#258,	winSize = 11
recv	ack	#238,	sack	#249
send	data	#259,	winSize = 11
recv	ack	#238,	sack	#250
